RWY:RW01W,00000,      ,00000, ,    , ,   ;N58380342,W156343265,0000;
RWY:RW05 ,00000,      ,00000, ,    , ,   ;N58391388,W156344495,0000;
RWY:RW08W,00000,      ,00000, ,    , ,   ;N58384694,W156353938,0000;
RWY:RW12W,00000,      ,00000, ,    , ,   ;N58391269,W156351590,0000;
RWY:RW14 ,00000,      ,00000, ,    , ,   ;N58392266,W156342883,0000;
RWY:RW19W,00000,      ,00000, ,    , ,   ;N58384270,W156343904,0000;
RWY:RW23 ,00000,      ,00000, ,    , ,   ;N58392099,W156341982,0000;
RWY:RW26W,00000,      ,00000, ,    , ,   ;N58384672,W156344269,0000;
RWY:RW30W,00000,      ,00000, ,    , ,   ;N58383877,W156343745,0000;
RWY:RW32 ,00000,      ,00000, ,    , ,   ;N58391011,W156341517,0000;
